ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki
ORL-PL-961605285,Orlen,"Stacja Orlen, Polska (współrzędne: 49.54441, 20.40435)",49.544410,20.404349,,Do zrobienia,,
ORL-PL-965916866,Orlen nr 7647,"Stacja Orlen, Polska (współrzędne: 49.77115, 19.64493)",49.771151,19.644935,,Do zrobienia,,
ORL-PL-967761059,Orlen,"Stacja Orlen, Polska (współrzędne: 49.87792, 19.79615)",49.877921,19.796149,,Do zrobienia,,
ORL-PL-967773832,Orlen,"Stacja Orlen, Polska (współrzędne: 51.16103, 16.17014)",51.161029,16.170139,,Do zrobienia,,
ORL-PL-988755884,Orlen,"Stacja Orlen, Polska (współrzędne: 52.04073, 19.87586)",52.040733,19.875857,,Do zrobienia,,
ORL-PL-993927577,Orlen,"Stacja Orlen, Polska (współrzędne: 50.04447, 20.21758)",50.044475,20.217575,,Do zrobienia,,
ORL-PL-1031483428,Orlen,Biała Niżna,49.627454,20.968588,,Do zrobienia,,
ORL-PL-1036619295,Orlen nr 7027,33-336,49.505722,20.894372,,Do zrobienia,,
ORL-PL-1036621524,Orlen nr 47,"ul. Stara Droga 5, 33-380 Krynica-Zdrój",49.434075,20.950286,,Do zrobienia,,
ORL-PL-1039484395,Orlen,"Stacja Orlen, Polska (współrzędne: 50.84321, 20.00189)",50.843211,20.001891,,Do zrobienia,,
ORL-PL-1048569247,Orlen,"Stacja Orlen, Polska (współrzędne: 52.98653, 22.24476)",52.986533,22.244764,,Do zrobienia,,
ORL-PL-1069878935,Orlen,"Stacja Orlen, Polska (współrzędne: 53.68682, 16.93185)",53.686823,16.931854,,Do zrobienia,,
ORL-PL-1079301878,Orlen,"Stacja Orlen, Polska (współrzędne: 53.53458, 15.55737)",53.534580,15.557373,,Do zrobienia,,
ORL-PL-1080111636,Orlen,"Stacja Orlen, Polska (współrzędne: 53.71752, 16.74075)",53.717522,16.740750,,Do zrobienia,,
ORL-PL-1115754616,Orlen,"ul. Warszawska 7, 46-040 Schodnia",50.673666,18.185128,,Do zrobienia,,
