OSM_ID,OSM_Type,SP,Nazwa,Adres,Latitude,Longitude,OSM_Version
332907552,way,,Orlen,"współrzędne: 50.88228, 18.74703",50.882280,18.747035,
333336385,way,,Orlen,"ul. Spółdzielcza 1, 78-300 Świdwin",53.792831,15.781875,
333340782,way,,Orlen,"ul. Szczecińska 30a, 78-300 Świdwin",53.767479,15.758222,
337560740,way,,Orlen,"współrzędne: 51.40381, 16.17630",51.403812,16.176303,
337625643,way,,Orlen,"ul. Henryka Sienkiewicza 11, 14-200 Iława",53.598770,19.545076,
342556801,way,,Orlen,"współrzędne: 51.22040, 22.57711",51.220399,22.577115,
343276763,way,,Orlen,"współrzędne: 50.04209, 18.69821",50.042095,18.698212,
346890249,way,,Orlen,"współrzędne: 52.78988, 21.87047",52.789878,21.870472,
350966431,way,,Orlen,"współrzędne: 51.12023, 18.88856",51.120235,18.888563,
351961385,way,,Orlen Małogoszcz,"ul. Warszawska 104, 28-366 Małogoszcz",50.820203,20.279422,
352271274,way,,Orlen,"współrzędne: 49.71500, 21.80766",49.715001,21.807656,
354078346,way,,Orlen,"współrzędne: 50.30047, 18.86723",50.300468,18.867229,
354124947,way,,Orlen,"współrzędne: 52.67535, 14.91825",52.675349,14.918247,
354691070,way,,Orlen,"ul. Szczecińska 62, 74-106 Stare Czarnowo",53.278696,14.778801,
356305952,way,,Orlen,"ul. Stopnicka 26, 28-136 Nowy Korczyn",50.304090,20.810500,
356635098,way,,Orlen,"współrzędne: 53.32885, 16.04199",53.328853,16.041992,
362494665,way,,Orlen,"współrzędne: 50.83485, 19.15332",50.834851,19.153316,
365356090,way,,Orlen,"współrzędne: 51.40217, 19.73607",51.402175,19.736070,
367773084,way,,Orlen,"współrzędne: 50.37364, 19.27438",50.373642,19.274377,
368142491,way,,Orlen,"współrzędne: 50.80167, 20.62007",50.801667,20.620069,
370682716,way,,Orlen,"współrzędne: 50.01060, 20.00965",50.010597,20.009652,
371020516,way,,Orlen,"współrzędne: 51.95723, 15.52270",51.957230,15.522696,
371601382,way,,Orlen,"współrzędne: 50.30426, 18.67343",50.304262,18.673430,
