ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki,Audyt
ORL-PL-1539,Orlen nr 1539 (Ostrołęka),"ul. Al.I Armii Wojska Polskiego 7, 07-401 Ostrołęka",53.089065,21.554950,,Do zrobienia,,,Nie
ORL-PL-1541,Orlen nr 1541 (Warszawa),"ul. Trakt Brzeski 104/114, 05-077 Warszawa",52.223855,21.228609,,Do zrobienia,,,Nie
ORL-PL-1544,Orlen nr 1544 (Przasnysz),"ul. Sierakowo 53, 06-300 Przasnysz",53.008522,20.910888,,Do zrobienia,,,Nie
ORL-PL-1545,Orlen nr 1545 (Wilga),"ul. Celejów 95, 08-470 Wilga",51.872054,21.349111,,Do zrobienia,,,Nie
ORL-PL-1555,Orlen nr 1555 (Krosno Odrzańskie),"ul. 17-stu Pionierów 14, 66-600 Krosno Odrzańskie",52.055154,15.117369,,Do zrobienia,,,Nie
ORL-PL-1561,Orlen nr 1561 (Warszawa),"ul. Konopna 11, 04-707 Warszawa",52.165868,21.015899,,Do zrobienia,,,Nie
ORL-PL-4001,Orlen nr 4001 (Aleksandrowice),"130, 32-084 Aleksandrowice",52.431603,18.999960,,Do zrobienia,,,Tak
ORL-PL-4002,Orlen nr 4002 (Morawica),"285, 32-084 Morawica",50.078904,19.758644,,Do zrobienia,,,Nie
ORL-PL-4003,Orlen nr 4003 (Gdańsk),"ul. Al. Grunwaldzka 341, 80-309 Gdańsk",54.402530,18.584347,,Do zrobienia,,,Nie
ORL-PL-4004,Orlen nr 4004 (Pszczółki),"ul. Gdańska 32, 83-032 Pszczółki",54.179230,18.685601,,Do zrobienia,,,Tak
ORL-PL-4005,Orlen nr 4005 (Marcelin),78-400 Marcelin,53.714604,16.683101,,Do zrobienia,,,Nie
ORL-PL-4008,Orlen nr 4008 (Malbork),"ul. Grobelno 69, 82-200 Malbork",54.037690,19.011387,,Do zrobienia,,,Nie
ORL-PL-4009,Orlen nr 4009 (Idzbark),"108, 14-100 Idzbark",53.691269,20.060986,,Do zrobienia,,,Nie
ORL-PL-4010,Orlen nr 4010 (Kraków),"ul. Zakopiańska 58D, 30-418 Kraków",50.093074,20.026348,,Do zrobienia,,,Nie
ORL-PL-4011,Orlen nr 4011 (Strzelin),"ul. Jana Pawła II 27, 57-100 Strzelin",50.784328,17.071437,,Do zrobienia,,,Nie
ORL-PL-4014,Orlen nr 4014 (Łódź),"ul. Brzezińska 23/25, 91-041 Łódź",51.795988,19.509024,,Do zrobienia,,,Tak
